code,problem_name,score,contest_name,link,time_limit,memory_limit
agc001_a,A - BBQ Easy,200,agc001,https://beta.atcoder.jp/contests/agc001/tasks/agc001_a,2,256 MB
agc001_b,B - Mysterious Light,500,agc001,https://beta.atcoder.jp/contests/agc001/tasks/agc001_b,2,256 MB
agc001_c,C - Shorten Diameter,600,agc001,https://beta.atcoder.jp/contests/agc001/tasks/agc001_c,2,256 MB
agc001_d,D - Arrays and Palindrome,1000,agc001,https://beta.atcoder.jp/contests/agc001/tasks/agc001_d,2,256 MB
agc001_e,E - BBQ Hard,1400,agc001,https://beta.atcoder.jp/contests/agc001/tasks/agc001_e,2,256 MB
agc001_f,F - Wide Swap,2000,agc001,https://beta.atcoder.jp/contests/agc001/tasks/agc001_f,5,256 MB
agc002_a,A - Range Product,No Score,agc002,https://beta.atcoder.jp/contests/agc002/tasks/agc002_a,2,256 MB
agc002_b,B - Box and Ball,No Score,agc002,https://beta.atcoder.jp/contests/agc002/tasks/agc002_b,2,256 MB
agc002_c,C - Knot Puzzle,No Score,agc002,https://beta.atcoder.jp/contests/agc002/tasks/agc002_c,2,256 MB
agc002_d,D - Stamp Rally,No Score,agc002,https://beta.atcoder.jp/contests/agc002/tasks/agc002_d,2,256 MB
agc002_e,E - Candy Piles,No Score,agc002,https://beta.atcoder.jp/contests/agc002/tasks/agc002_e,2,256 MB
agc002_f,F - Leftmost Ball,No Score,agc002,https://beta.atcoder.jp/contests/agc002/tasks/agc002_f,2,256 MB
agc003_a,A - Wanna go back home,200,agc003,https://beta.atcoder.jp/contests/agc003/tasks/agc003_a,2,256 MB
agc003_b,B - Simplified mahjong,400,agc003,https://beta.atcoder.jp/contests/agc003/tasks/agc003_b,2,256 MB
agc003_c,C - BBuBBBlesort!,600,agc003,https://beta.atcoder.jp/contests/agc003/tasks/agc003_c,2,256 MB
agc003_d,D - Anticube,1100,agc003,https://beta.atcoder.jp/contests/agc003/tasks/agc003_d,5,256 MB
agc003_e,E - Sequential operations on Sequence,1400,agc003,https://beta.atcoder.jp/contests/agc003/tasks/agc003_e,2,256 MB
agc003_f,F - Fraction of Fractal,1700,agc003,https://beta.atcoder.jp/contests/agc003/tasks/agc003_f,2,256 MB
agc004_a,A - Divide a Cuboid,200,agc004,https://beta.atcoder.jp/contests/agc004/tasks/agc004_a,2,256 MB
agc004_b,B - Colorful Slimes,400,agc004,https://beta.atcoder.jp/contests/agc004/tasks/agc004_b,2,256 MB
agc004_c,C - AND Grid,700,agc004,https://beta.atcoder.jp/contests/agc004/tasks/agc004_c,2,256 MB
agc004_d,D - Teleporter,800,agc004,https://beta.atcoder.jp/contests/agc004/tasks/agc004_d,1,256 MB
agc004_e,E - Salvage Robots,1400,agc004,https://beta.atcoder.jp/contests/agc004/tasks/agc004_e,2,256 MB
agc004_f,F - Namori,2200,agc004,https://beta.atcoder.jp/contests/agc004/tasks/agc004_f,2,256 MB
agc005_a,A - STring,300,agc005,https://beta.atcoder.jp/contests/agc005/tasks/agc005_a,1,256 MB
agc005_b,B - Minimum Sum,400,agc005,https://beta.atcoder.jp/contests/agc005/tasks/agc005_b,2,256 MB
agc005_c,C - Tree Restoring,700,agc005,https://beta.atcoder.jp/contests/agc005/tasks/agc005_c,2,256 MB
agc005_d,D - ~K Perm Counting,900,agc005,https://beta.atcoder.jp/contests/agc005/tasks/agc005_d,2,256 MB
agc005_e,E - Sugigma: The Showdown,1400,agc005,https://beta.atcoder.jp/contests/agc005/tasks/agc005_e,2,256 MB
agc005_f,F - Many Easy Problems,1900,agc005,https://beta.atcoder.jp/contests/agc005/tasks/agc005_f,5,512 MB
agc006_a,A - Prefix and Suffix,200,agc006,https://beta.atcoder.jp/contests/agc006/tasks/agc006_a,2,256 MB
agc006_b,B - Median Pyramid Easy,400,agc006,https://beta.atcoder.jp/contests/agc006/tasks/agc006_b,2,256 MB
agc006_c,C - Rabbit Exercise,800,agc006,https://beta.atcoder.jp/contests/agc006/tasks/agc006_c,2,256 MB
agc006_d,D - Median Pyramid Hard,1300,agc006,https://beta.atcoder.jp/contests/agc006/tasks/agc006_d,2,256 MB
agc006_e,E - Rotate 3x3,1500,agc006,https://beta.atcoder.jp/contests/agc006/tasks/agc006_e,2,256 MB
agc006_f,F - Blackout,1700,agc006,https://beta.atcoder.jp/contests/agc006/tasks/agc006_f,2,256 MB
agc007_a,A - Shik and Stone,200,agc007,https://beta.atcoder.jp/contests/agc007/tasks/agc007_a,2,256 MB
agc007_b,B - Construct Sequences,400,agc007,https://beta.atcoder.jp/contests/agc007/tasks/agc007_b,2,256 MB
agc007_c,C - Pushing Balls,1000,agc007,https://beta.atcoder.jp/contests/agc007/tasks/agc007_c,2,256 MB
agc007_d,D - Shik and Game,1200,agc007,https://beta.atcoder.jp/contests/agc007/tasks/agc007_d,2,256 MB
agc007_e,E - Shik and Travel,1400,agc007,https://beta.atcoder.jp/contests/agc007/tasks/agc007_e,5,256 MB
agc007_f,F - Shik and Copying String,1500,agc007,https://beta.atcoder.jp/contests/agc007/tasks/agc007_f,2,256 MB
agc008_a,A - Simple Calculator,300,agc008,https://beta.atcoder.jp/contests/agc008/tasks/agc008_a,2,256 MB
agc008_b,B - Contiguous Repainting,400,agc008,https://beta.atcoder.jp/contests/agc008/tasks/agc008_b,2,256 MB
